날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-06-22	9158 	1508016 	1976049530 	188312 	2716938360 	253016 
2022-06-23	8720 	1446643 	1546459190 	146105 	4263397550 	399121 
2022-06-24	8948 	1487057 	2401575760 	216163 	6664973310 	615284 
2022-06-25	8907 	1479025 	5192321350 	472306 	11857294660 	1087590 
2022-06-26	8589 	1427305 	4789763620 	438673 	16647058280 	1526263 
2022-06-27	7988 	1339714 	1654213940 	156222 	18301272220 	1682485 
2022-06-28	7945 	1333389 	1554570540 	146873 	19855842760 	1829358 
2022-06-29	5680 	932324 	1830630070 	208178 	21686472830 	2037536 
2022-06-30	5775 	949682 	1537625670 	146232 	23224098500 	2183768 
2022-07-01	6302 	1039165 	2514791670 	225696 	25738890170 	2409464 
2022-07-02	7224 	1188247 	5294359740 	480280 	31033249910 	2889744 
2022-07-03	7146 	1176149 	4795789500 	439248 	35829039410 	3328992 
2022-07-04	6568 	1091432 	1657272790 	151680 	37486312200 	3480672 
2022-07-05	6621 	1095423 	1840848870 	167795 	39327161070 	3648467 
2022-07-06	3516 	462768 	1009403610 	100506 	40336564680 	3748973 
2022-07-07	3805 	498478 	1023016240 	100355 	41359580920 	3849328 
2022-07-08	4198 	550835 	1578819190 	148220 	42938400110 	3997548 
2022-07-09	4922 	661712 	3572278360 	335573 	46510678470 	4333121 
2022-07-10	5000 	673636 	3391502180 	320403 	49902180650 	4653524 
2022-07-11	4869 	698569 	1028098520 	100606 	50930279170 	4754130 
2022-07-12	4886 	701346 	918166360 	89811 	51848445530 	4843941 
2022-07-13	5081 	800237 	972731260 	94448 	52821176790 	4938389 
2022-07-14	5241 	830510 	969705220 	93103 	53790882010 	5031492 
2022-07-15	5642 	891884 	1521006830 	139681 	55311888840 	5171173 
2022-07-16	6271 	1003006 	3207904910 	295387 	58519793750 	5466560 
2022-07-17	6153 	988805 	2885480880 	267268 	61405274630 	5733828 
2022-07-18	5503 	907014 	977934330 	93954 	62383208960 	5827782 
2022-07-19	5517 	908628 	1041245737 	100089 	63424454697 	5927871 
2022-07-20	2222 	301343 	625668653 	61325 	64050123350 	5989196 
2022-07-21	2485 	342301 	656455952 	64224 	64706579302 	6053420 
2022-07-22	2775 	391639 	948453156 	88200 	65655032458 	6141620 
2022-07-23	3276 	470094 	1965985873 	181301 	67621018331 	6322921 
2022-07-24	3293 	479070 	1931101117 	178993 	69552119448 	6501914 
2022-07-25	3221 	487767 	735155225 	71504 	70287274673 	6573418 
2022-07-26	3254 	489846 	703597524 	68261 	70990872197 	6641679 
2022-07-27	1831 	228692 	535916184 	63713 	71526788381 	6705392 
2022-07-28	1836 	233644 	486427798 	47328 	72013216179 	6752720 
2022-07-29	1984 	255681 	708958458 	65323 	72722174637 	6818043 
2022-07-30	2045 	269101 	1305354304 	118988 	74027528941 	6937031 
2022-07-31	2054 	269403 	1224941845 	112358 	75252470786 	7049389 
2022-08-01	2038 	266619 	731085309 	71492 	75983556095 	7120881 
2022-08-02	2072 	269288 	678742098 	66650 	76662298193 	7187531 
2022-08-03	1117 	135642 	383003625 	36849 	77045301818 	7224380 
2022-08-04	1149 	138671 	356193309 	34522 	77401495127 	7258902 
2022-08-05	1238 	153487 	504483247 	46942 	77905978374 	7305844 
